tijdstip;locatie;component;waarde;LKI
2015-08-01 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,88;1
2015-08-01 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,78;3
2015-08-01 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,76;1
2015-08-01 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,42;3
2015-08-01 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,26;1
2015-08-01 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,51;3
2015-08-01 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,46;3
2015-08-01 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,16;1
2015-08-01 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,28;1
2015-08-01 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,19;3
2015-08-01 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,38;1
2015-08-01 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;28,14;3
2015-08-01 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;29,35;3
2015-08-01 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;6,84;1
2015-08-01 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,4;4
2015-08-01 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,09;2
2015-08-01 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,61;4
2015-08-01 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,95;2
2015-08-01 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,94;1
2015-08-01 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,65;3
2015-08-01 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,8;1
2015-08-01 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;16,44;2
2015-08-01 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,38;3
2015-08-01 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,89;1
2015-08-01 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,28;2
2015-08-01 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,79;4
2015-08-01 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,35;3
2015-08-01 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,08;2
2015-08-01 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,96;3
2015-08-01 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,98;1
2015-08-01 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,06;2
2015-08-01 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,54;3
2015-08-01 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,38;1
2015-08-01 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,04;3
2015-08-01 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;27,46;3
2015-08-01 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,69;1
