tijdstip;locatie;component;waarde;LKI
2015-08-01 02:00:00+02:00;Den Haag-Bleriotlaan;NO;0,42;1
2015-08-01 02:00:00+02:00;Den Haag-Bleriotlaan;O3;46,7;4
2015-08-01 02:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-01 02:00:00+02:00;Den Haag-Bleriotlaan;NO2;17,49;2
2015-08-01 03:00:00+02:00;Den Haag-Bleriotlaan;O3;41,52;4
2015-08-01 03:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,42;2
2015-08-01 03:00:00+02:00;Den Haag-Bleriotlaan;PM10;19,79;2
2015-08-01 03:00:00+02:00;Den Haag-Bleriotlaan;NO;0,25;1
2015-08-01 04:00:00+02:00;Den Haag-Bleriotlaan;NO2;24,81;3
2015-08-01 04:00:00+02:00;Den Haag-Bleriotlaan;NO;0,45;1
2015-08-01 04:00:00+02:00;Den Haag-Bleriotlaan;O3;31,31;3
2015-08-01 04:00:00+02:00;Den Haag-Bleriotlaan;PM10;18,51;2
2015-08-01 05:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-01 05:00:00+02:00;Den Haag-Bleriotlaan;NO;0,75;1
2015-08-01 05:00:00+02:00;Den Haag-Bleriotlaan;O3;21,22;2
2015-08-01 05:00:00+02:00;Den Haag-Bleriotlaan;NO2;26,07;3
2015-08-01 06:00:00+02:00;Den Haag-Bleriotlaan;NO;0,77;1
2015-08-01 06:00:00+02:00;Den Haag-Bleriotlaan;NO2;26,37;3
2015-08-01 06:00:00+02:00;Den Haag-Bleriotlaan;O3;17,95;2
2015-08-01 06:00:00+02:00;Den Haag-Bleriotlaan;PM10;13,39;2
2015-08-01 07:00:00+02:00;Den Haag-Bleriotlaan;NO;2,3;1
2015-08-01 07:00:00+02:00;Den Haag-Bleriotlaan;PM10;17,23;2
2015-08-01 07:00:00+02:00;Den Haag-Bleriotlaan;O3;17,42;2
2015-08-01 07:00:00+02:00;Den Haag-Bleriotlaan;NO2;24,21;3
2015-08-01 08:00:00+02:00;Den Haag-Bleriotlaan;O3;29,83;2
2015-08-01 08:00:00+02:00;Den Haag-Bleriotlaan;NO;3,56;1
2015-08-01 08:00:00+02:00;Den Haag-Bleriotlaan;NO2;20,16;3
2015-08-01 08:00:00+02:00;Den Haag-Bleriotlaan;PM10;3,15;1
2015-08-01 09:00:00+02:00;Den Haag-Bleriotlaan;PM10;6,99;1
2015-08-01 09:00:00+02:00;Den Haag-Bleriotlaan;O3;37,97;3
2015-08-01 09:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,8;2
2015-08-01 09:00:00+02:00;Den Haag-Bleriotlaan;NO;4,66;1
2015-08-01 10:00:00+02:00;Den Haag-Bleriotlaan;O3;37,99;3
2015-08-01 10:00:00+02:00;Den Haag-Bleriotlaan;PM10;6,99;1
2015-08-01 10:00:00+02:00;Den Haag-Bleriotlaan;NO2;27,01;3
2015-08-01 10:00:00+02:00;Den Haag-Bleriotlaan;NO;10,33;2
2015-08-01 11:00:00+02:00;Den Haag-Bleriotlaan;O3;49,62;4
2015-08-01 11:00:00+02:00;Den Haag-Bleriotlaan;NO2;27,09;3
2015-08-01 11:00:00+02:00;Den Haag-Bleriotlaan;NO;8,86;1
2015-08-01 11:00:00+02:00;Den Haag-Bleriotlaan;PM10;1,87;1
2015-08-01 12:00:00+02:00;Den Haag-Bleriotlaan;PM10;24,91;3
2015-08-01 12:00:00+02:00;Den Haag-Bleriotlaan;NO2;9,76;1
2015-08-01 12:00:00+02:00;Den Haag-Bleriotlaan;O3;87,21;6
2015-08-01 12:00:00+02:00;Den Haag-Bleriotlaan;NO;1,55;1
2015-08-01 13:00:00+02:00;Den Haag-Bleriotlaan;PM10;17,23;2
2015-08-01 13:00:00+02:00;Den Haag-Bleriotlaan;NO;1,19;1
2015-08-01 13:00:00+02:00;Den Haag-Bleriotlaan;NO2;8,9;1
2015-08-01 13:00:00+02:00;Den Haag-Bleriotlaan;O3;94,4;6
2015-08-01 14:00:00+02:00;Den Haag-Bleriotlaan;NO2;13,22;2
2015-08-01 14:00:00+02:00;Den Haag-Bleriotlaan;PM10;19,79;2
2015-08-01 14:00:00+02:00;Den Haag-Bleriotlaan;O3;99,26;6
2015-08-01 14:00:00+02:00;Den Haag-Bleriotlaan;NO;1,62;1
2015-08-01 15:00:00+02:00;Den Haag-Bleriotlaan;NO;2,51;1
2015-08-01 15:00:00+02:00;Den Haag-Bleriotlaan;O3;97,84;6
2015-08-01 15:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,32;2
2015-08-01 15:00:00+02:00;Den Haag-Bleriotlaan;PM10;12,11;2
2015-08-01 16:00:00+02:00;Den Haag-Bleriotlaan;NO;1,53;1
2015-08-01 16:00:00+02:00;Den Haag-Bleriotlaan;NO2;12,44;2
2015-08-01 16:00:00+02:00;Den Haag-Bleriotlaan;PM10;1,87;1
