tijdstip;locatie;component;waarde;LKI
2015-08-01 02:00:00+02:00;Den Haag-Rebecquestraat;NO2;18,43;2
2015-08-01 02:00:00+02:00;Den Haag-Rebecquestraat;PM10;17,23;2
2015-08-01 02:00:00+02:00;Den Haag-Rebecquestraat;O3;52,59;4
2015-08-01 02:00:00+02:00;Den Haag-Rebecquestraat;NO;0,67;1
2015-08-01 03:00:00+02:00;Den Haag-Rebecquestraat;NO2;20,94;3
2015-08-01 03:00:00+02:00;Den Haag-Rebecquestraat;NO;0,48;1
2015-08-01 03:00:00+02:00;Den Haag-Rebecquestraat;PM10;13,39;2
2015-08-01 03:00:00+02:00;Den Haag-Rebecquestraat;O3;47,34;4
2015-08-01 04:00:00+02:00;Den Haag-Rebecquestraat;NO;0,54;1
2015-08-01 04:00:00+02:00;Den Haag-Rebecquestraat;O3;46,12;4
2015-08-01 04:00:00+02:00;Den Haag-Rebecquestraat;PM10;19,79;2
2015-08-01 04:00:00+02:00;Den Haag-Rebecquestraat;NO2;19,28;2
2015-08-01 05:00:00+02:00;Den Haag-Rebecquestraat;NO2;19,28;2
2015-08-01 05:00:00+02:00;Den Haag-Rebecquestraat;O3;42,43;4
2015-08-01 05:00:00+02:00;Den Haag-Rebecquestraat;NO;0,62;1
2015-08-01 05:00:00+02:00;Den Haag-Rebecquestraat;PM10;18,51;2
2015-08-01 06:00:00+02:00;Den Haag-Rebecquestraat;NO2;18,97;2
2015-08-01 06:00:00+02:00;Den Haag-Rebecquestraat;O3;40,37;4
2015-08-01 06:00:00+02:00;Den Haag-Rebecquestraat;NO;1,19;1
2015-08-01 06:00:00+02:00;Den Haag-Rebecquestraat;PM10;18,51;2
2015-08-01 07:00:00+02:00;Den Haag-Rebecquestraat;PM10;12,11;2
2015-08-01 07:00:00+02:00;Den Haag-Rebecquestraat;O3;40,24;4
2015-08-01 07:00:00+02:00;Den Haag-Rebecquestraat;NO;2,57;1
2015-08-01 07:00:00+02:00;Den Haag-Rebecquestraat;NO2;20,12;3
2015-08-01 08:00:00+02:00;Den Haag-Rebecquestraat;PM10;14,67;2
2015-08-01 08:00:00+02:00;Den Haag-Rebecquestraat;NO;2,76;1
2015-08-01 08:00:00+02:00;Den Haag-Rebecquestraat;NO2;20,64;3
2015-08-01 08:00:00+02:00;Den Haag-Rebecquestraat;O3;39,3;3
2015-08-01 09:00:00+02:00;Den Haag-Rebecquestraat;PM10;24,91;3
2015-08-01 09:00:00+02:00;Den Haag-Rebecquestraat;O3;39,73;3
2015-08-01 09:00:00+02:00;Den Haag-Rebecquestraat;NO;4,17;1
2015-08-01 09:00:00+02:00;Den Haag-Rebecquestraat;NO2;25,97;3
2015-08-01 10:00:00+02:00;Den Haag-Rebecquestraat;PM10;14,67;2
2015-08-01 10:00:00+02:00;Den Haag-Rebecquestraat;NO;5,37;1
2015-08-01 10:00:00+02:00;Den Haag-Rebecquestraat;O3;44,05;4
2015-08-01 10:00:00+02:00;Den Haag-Rebecquestraat;NO2;26,74;3
2015-08-01 11:00:00+02:00;Den Haag-Rebecquestraat;O3;64,77;5
2015-08-01 11:00:00+02:00;Den Haag-Rebecquestraat;PM10;6,99;1
2015-08-01 11:00:00+02:00;Den Haag-Rebecquestraat;NO;3,75;1
2015-08-01 11:00:00+02:00;Den Haag-Rebecquestraat;NO2;21,3;3
2015-08-01 12:00:00+02:00;Den Haag-Rebecquestraat;NO;1,39;1
2015-08-01 12:00:00+02:00;Den Haag-Rebecquestraat;O3;94,83;6
2015-08-01 12:00:00+02:00;Den Haag-Rebecquestraat;PM10;18,51;2
2015-08-01 12:00:00+02:00;Den Haag-Rebecquestraat;NO2;9,02;1
2015-08-01 13:00:00+02:00;Den Haag-Rebecquestraat;NO;1,56;1
2015-08-01 13:00:00+02:00;Den Haag-Rebecquestraat;NO2;10,7;2
2015-08-01 13:00:00+02:00;Den Haag-Rebecquestraat;O3;100,46;7
2015-08-01 13:00:00+02:00;Den Haag-Rebecquestraat;PM10;15,95;2
2015-08-01 14:00:00+02:00;Den Haag-Rebecquestraat;O3;102,41;7
2015-08-01 14:00:00+02:00;Den Haag-Rebecquestraat;NO;1,88;1
2015-08-01 14:00:00+02:00;Den Haag-Rebecquestraat;NO2;15,02;2
2015-08-01 14:00:00+02:00;Den Haag-Rebecquestraat;PM10;12,11;2
2015-08-01 15:00:00+02:00;Den Haag-Rebecquestraat;PM10;9,55;1
2015-08-01 15:00:00+02:00;Den Haag-Rebecquestraat;NO;1,59;1
2015-08-01 15:00:00+02:00;Den Haag-Rebecquestraat;NO2;9,3;1
2015-08-01 15:00:00+02:00;Den Haag-Rebecquestraat;O3;105,84;7
2015-08-01 16:00:00+02:00;Den Haag-Rebecquestraat;NO2;7,33;1
2015-08-01 16:00:00+02:00;Den Haag-Rebecquestraat;PM10;14,67;2
2015-08-01 16:00:00+02:00;Den Haag-Rebecquestraat;O3;108,98;7
2015-08-01 16:00:00+02:00;Den Haag-Rebecquestraat;NO;1,0;1
2015-08-01 17:00:00+02:00;Den Haag-Rebecquestraat;NO;1,26;1
2015-08-01 17:00:00+02:00;Den Haag-Rebecquestraat;O3;115,91;7
2015-08-01 17:00:00+02:00;Den Haag-Rebecquestraat;PM10;24,91;3
2015-08-01 17:00:00+02:00;Den Haag-Rebecquestraat;NO2;9,16;1
2015-08-01 18:00:00+02:00;Den Haag-Rebecquestraat;O3;116,35;7
2015-08-01 18:00:00+02:00;Den Haag-Rebecquestraat;PM10;18,51;2
2015-08-01 18:00:00+02:00;Den Haag-Rebecquestraat;NO;0,81;1
2015-08-01 18:00:00+02:00;Den Haag-Rebecquestraat;NO2;6,63;1
2015-08-01 19:00:00+02:00;Den Haag-Rebecquestraat;NO2;5,8;1
2015-08-01 19:00:00+02:00;Den Haag-Rebecquestraat;O3;112,86;7
2015-08-01 19:00:00+02:00;Den Haag-Rebecquestraat;NO;0,75;1
2015-08-01 19:00:00+02:00;Den Haag-Rebecquestraat;PM10;6,99;1
2015-08-01 20:00:00+02:00;Den Haag-Rebecquestraat;NO2;3,83;1
2015-08-01 20:00:00+02:00;Den Haag-Rebecquestraat;NO;0,27;1
2015-08-01 20:00:00+02:00;Den Haag-Rebecquestraat;O3;111,71;7
2015-08-01 20:00:00+02:00;Den Haag-Rebecquestraat;PM10;12,11;2
2015-08-01 21:00:00+02:00;Den Haag-Rebecquestraat;NO;0,3;1
2015-08-01 21:00:00+02:00;Den Haag-Rebecquestraat;PM10;21,07;3
2015-08-01 21:00:00+02:00;Den Haag-Rebecquestraat;NO2;3,59;1
2015-08-01 21:00:00+02:00;Den Haag-Rebecquestraat;O3;111,66;7
2015-08-01 22:00:00+02:00;Den Haag-Rebecquestraat;NO2;10,12;2
2015-08-01 22:00:00+02:00;Den Haag-Rebecquestraat;NO;0,19;1
2015-08-01 22:00:00+02:00;Den Haag-Rebecquestraat;PM10;21,07;3
2015-08-01 22:00:00+02:00;Den Haag-Rebecquestraat;O3;108,28;7
2015-08-01 23:00:00+02:00;Den Haag-Rebecquestraat;NO;0,42;1
2015-08-01 23:00:00+02:00;Den Haag-Rebecquestraat;PM10;26,19;3
2015-08-01 23:00:00+02:00;Den Haag-Rebecquestraat;NO2;43,03;4
2015-08-01 23:00:00+02:00;Den Haag-Rebecquestraat;O3;70,74;5
2015-08-02 00:00:00+02:00;Den Haag-Rebecquestraat;PM10;18,51;2
2015-08-02 00:00:00+02:00;Den Haag-Rebecquestraat;NO2;54,03;5
2015-08-02 00:00:00+02:00;Den Haag-Rebecquestraat;NO;0,63;1
2015-08-02 00:00:00+02:00;Den Haag-Rebecquestraat;O3;57,98;4
2015-08-02 01:00:00+02:00;Den Haag-Rebecquestraat;O3;18,66;2
2015-08-02 01:00:00+02:00;Den Haag-Rebecquestraat;NO;1,33;1
2015-08-02 01:00:00+02:00;Den Haag-Rebecquestraat;PM10;40,27;4
2015-08-02 01:00:00+02:00;Den Haag-Rebecquestraat;NO2;104,29;8
2015-08-02 02:00:00+02:00;Den Haag-Rebecquestraat;PM10;27,47;3
2015-08-02 02:00:00+02:00;Den Haag-Rebecquestraat;O3;62,23;5
2015-08-02 03:00:00+02:00;Den Haag-Rebecquestraat;O3;74,52;5
2015-08-02 03:00:00+02:00;Den Haag-Rebecquestraat;NO2;27,67;3
2015-08-02 03:00:00+02:00;Den Haag-Rebecquestraat;PM10;26,19;3
2015-08-02 03:00:00+02:00;Den Haag-Rebecquestraat;NO;0,08;1
2015-08-02 04:00:00+02:00;Den Haag-Rebecquestraat;PM10;26,19;3
2015-08-02 04:00:00+02:00;Den Haag-Rebecquestraat;NO;0,03;1
2015-08-02 04:00:00+02:00;Den Haag-Rebecquestraat;NO2;27,52;3
2015-08-02 05:00:00+02:00;Den Haag-Rebecquestraat;NO2;32,65;4
2015-08-02 05:00:00+02:00;Den Haag-Rebecquestraat;PM10;23,63;3
2015-08-02 05:00:00+02:00;Den Haag-Rebecquestraat;O3;49,14;4
2015-08-02 05:00:00+02:00;Den Haag-Rebecquestraat;NO;0,03;1
2015-08-02 06:00:00+02:00;Den Haag-Rebecquestraat;O3;33,19;3
2015-08-02 06:00:00+02:00;Den Haag-Rebecquestraat;NO;0,12;1
2015-08-02 06:00:00+02:00;Den Haag-Rebecquestraat;PM10;21,07;3
2015-08-02 06:00:00+02:00;Den Haag-Rebecquestraat;NO2;42,98;4
2015-08-02 07:00:00+02:00;Den Haag-Rebecquestraat;O3;23,8;2
2015-08-02 07:00:00+02:00;Den Haag-Rebecquestraat;PM10;21,07;3
2015-08-02 07:00:00+02:00;Den Haag-Rebecquestraat;NO2;53,73;5
2015-08-02 07:00:00+02:00;Den Haag-Rebecquestraat;NO;2,36;1
2015-08-02 08:00:00+02:00;Den Haag-Rebecquestraat;O3;26,66;2
2015-08-02 08:00:00+02:00;Den Haag-Rebecquestraat;PM10;27,47;3
2015-08-02 08:00:00+02:00;Den Haag-Rebecquestraat;NO2;52,02;5
2015-08-02 08:00:00+02:00;Den Haag-Rebecquestraat;NO;6,5;1
2015-08-02 09:00:00+02:00;Den Haag-Rebecquestraat;O3;27,47;2
2015-08-02 09:00:00+02:00;Den Haag-Rebecquestraat;NO;10,2;2
2015-08-02 09:00:00+02:00;Den Haag-Rebecquestraat;NO2;48,58;5
2015-08-02 09:00:00+02:00;Den Haag-Rebecquestraat;PM10;19,79;2
2015-08-02 10:00:00+02:00;Den Haag-Rebecquestraat;NO;8,64;1
2015-08-02 10:00:00+02:00;Den Haag-Rebecquestraat;NO2;38,81;4
2015-08-02 10:00:00+02:00;Den Haag-Rebecquestraat;O3;39,97;3
2015-08-02 11:00:00+02:00;Den Haag-Rebecquestraat;O3;74,67;5
2015-08-02 11:00:00+02:00;Den Haag-Rebecquestraat;NO;3,19;1
2015-08-02 11:00:00+02:00;Den Haag-Rebecquestraat;NO2;23,38;3
2015-08-02 12:00:00+02:00;Den Haag-Rebecquestraat;PM10;4,43;1
2015-08-02 12:00:00+02:00;Den Haag-Rebecquestraat;O3;113,64;7
2015-08-02 12:00:00+02:00;Den Haag-Rebecquestraat;NO;0,69;1
